,AMV1,AMV4,AVV1,AVV2,HCV7,HCV8,SMV1_SMV7,KKV8,ARC,ARGO5,ARGO6,VF5,VF6,HOB_electric,HOB_biogas,HOB_fueloil,HOB_gasoil,HOB_natgas,HOB_pellets,HP_air
T0130,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,40.3866993,68.35,58.795,74.291,79.969,41.44,40.387
T0131,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,39.87157272,68.35,58.795,74.291,79.969,41.44,39.872
T0132,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,39.9269589,68.35,58.795,74.291,79.969,41.44,39.927
T0133,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,39.91609318,68.35,58.795,74.291,79.969,41.44,39.916
T0134,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,39.99430616,68.35,58.795,74.291,79.969,41.44,39.994
T0135,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,40.11066223,68.35,58.795,74.291,79.969,41.44,40.111
T0136,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,42.37134971,68.35,58.795,74.291,79.969,41.44,42.371
T0137,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,42.60098204,68.35,58.795,74.291,79.969,41.44,42.601
T0138,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,40.05399854,68.35,58.795,74.291,79.969,41.44,40.054
T0139,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,39.33940013,68.35,58.795,74.291,79.969,41.44,39.339
T0140,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,39.01571023,68.35,58.795,74.291,79.969,41.44,39.016
T0141,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,39.12820321,68.35,58.795,74.291,79.969,41.44,39.128
T0142,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,37.91504433,68.35,58.795,74.291,79.969,41.44,37.915
